age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
33;services;1;secondary;0;4789;1;1;cellular;11;may;220;1;339;4;failure;0
35;management;0;tertiary;0;1350;1;0;cellular;16;apr;185;1;330;1;failure;0
35;management;0;tertiary;0;747;0;0;cellular;23;feb;141;2;176;3;failure;0
36;self-employed;1;tertiary;0;307;1;0;cellular;14;may;341;1;330;2;other;0
43;services;1;primary;0;-88;1;1;cellular;17;apr;313;1;147;2;failure;0
31;blue-collar;1;secondary;0;360;1;1;cellular;29;jan;89;1;241;1;failure;0
37;admin.;0;tertiary;0;2317;1;0;cellular;20;apr;114;1;152;2;failure;0
31;services;1;secondary;0;132;0;0;cellular;7;jul;148;1;152;1;other;0
33;management;1;secondary;0;3935;1;0;cellular;6;may;765;1;342;2;failure;1
55;blue-collar;1;primary;0;145;0;0;telephone;2;feb;59;3;5;2;other;0
34;technician;1;tertiary;0;1539;1;0;cellular;15;jun;441;1;56;1;other;1
51;blue-collar;2;secondary;0;203;1;0;cellular;8;may;134;1;170;5;failure;0
37;management;1;tertiary;0;0;0;0;cellular;16;jul;268;2;182;3;success;1
41;blue-collar;2;secondary;0;174;1;0;cellular;14;may;367;2;297;1;other;0
40;unemployed;1;secondary;0;219;1;0;cellular;17;nov;204;2;196;1;failure;0
52;services;1;secondary;0;657;0;0;telephone;7;jul;398;2;460;2;failure;1
30;admin.;0;tertiary;0;261;0;0;cellular;19;oct;233;1;137;20;failure;0
36;blue-collar;2;secondary;0;2843;0;0;cellular;12;feb;473;1;182;1;success;0
38;management;0;tertiary;0;493;1;0;cellular;11;may;553;1;367;7;failure;0
32;management;0;tertiary;0;574;1;0;cellular;14;apr;259;2;145;3;failure;0
21;student;0;secondary;0;2488;0;0;cellular;30;jun;258;6;169;3;success;1
33;blue-collar;0;secondary;0;22;0;0;cellular;30;jan;76;2;207;1;failure;0
51;management;0;tertiary;1;-55;1;0;cellular;11;may;281;2;266;6;failure;0
32;blue-collar;0;secondary;0;228;0;0;telephone;5;feb;176;1;288;3;failure;0
29;admin.;0;secondary;0;428;1;1;cellular;7;may;54;1;345;2;failure;0
